-- Intrucoes de uso do arquivo.
-- Valor '1' = area branca da imagem ( nao pintado )
-- Valor '0' = area preta da imagem ( pintada )
-- Nao utilizar '-1' pois ao popular a matrix os valores serao trocados
-- Separar cada elemento por uma linha em branco
-- Os valores na matrix devem ser separados por ','
-- Linha que iniciam com '--' sao comentarios ignorados no processamento

-- A
1,0,0,0,1
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0

-- B
0,0,0,0,1
0,1,1,1,0
0,1,1,1,0
0,1,0,0,1
0,1,1,1,0
0,1,1,1,0
0,0,0,0,1

-- C
1,0,0,0,0
0,1,1,1,1
0,1,1,1,1
0,1,1,1,1
0,1,1,1,1
0,1,1,1,1
1,0,0,0,0

-- D
0,0,0,0,1
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,1

-- E
0,0,0,0,0
0,1,1,1,1
0,1,1,1,1
0,0,0,1,1
0,1,1,1,1
0,1,1,1,1
0,0,0,0,0

-- F
0,0,0,0,0
0,1,1,1,1
0,1,1,1,1
0,0,0,0,1
0,1,1,1,1
0,1,1,1,1
0,1,1,1,1

-- G
0,0,0,0,0
0,1,1,1,1
0,1,1,1,1
0,1,0,0,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0

-- H
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0
0,0,0,0,0
0,1,1,1,0
0,1,1,1,0
0,1,1,1,0

-- I
1,0,0,0,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,0,0,0,1

-- J
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
0,1,1,1,0
0,1,1,1,0
1,0,0,0,1
